YEAR,WEEK,TOTAL_SPECIMENS,TOTAL_A,TOTAL_B,PERCENT_POSITIVE,PERCENT_A,PERCENT_B
2019,40,19851,136,124,1.30976,0.685104,0.624654
2019,41,22113,146,181,1.47877,0.660245,0.818523
2019,42,23131,172,187,1.55203,0.743591,0.808439
2019,43,24630,201,354,2.25335,0.816078,1.43727
2019,44,25417,221,556,3.05701,0.869497,2.18751
2019,45,28842,414,1075,5.16261,1.43541,3.7272
2019,46,31439,535,1589,6.75594,1.70171,5.05423
2019,47,36497,903,2581,9.54599,2.47418,7.07181
2019,48,35398,1079,2793,10.9385,3.04819,7.89028
2019,49,41929,1426,3461,11.6554,3.40099,8.25443
2019,50,44911,2158,5097,16.1542,4.80506,11.3491
2019,51,54480,3697,8579,22.533,6.78598,15.7471
2019,52,64024,5980,11264,26.9336,9.34025,17.5934
2020,1,65177,5645,9664,23.4883,8.66103,14.8273
2020,2,60717,6109,7928,23.1187,10.0614,13.0573
2020,3,60316,7712,8020,26.0826,12.786,13.2966
2020,4,64502,9478,8764,28.2813,14.6941,13.5872
2020,5,72224,12102,9671,30.1465,16.7562,13.3903
2020,6,71868,12960,8787,30.2596,18.0331,12.2266
2020,7,69257,13372,7180,29.675,19.3078,10.3672
2020,8,65212,12714,5755,28.3215,19.4964,8.82506
2020,9,62427,11713,4363,25.7517,18.7627,6.98896
2020,10,64149,11050,3378,22.4914,17.2255,5.26587
2020,11,74416,9077,2690,15.8125,12.1976,3.61481
2020,12,73090,4131,1352,7.50171,5.65194,1.84977
2020,13,44754,759,280,2.32158,1.69594,0.625642
2020,14,30838,196,122,1.0312,0.635579,0.395616
2020,15,19572,75,46,0.61823,0.3832,0.23503
2020,16,14443,58,32,0.623139,0.401579,0.221561
2020,17,12822,20,8,0.218375,0.155982,0.0623928
2020,18,10268,19,8,0.262953,0.185041,0.077912
2020,19,8891,14,15,0.326173,0.157463,0.16871
2020,20,7844,14,10,0.305966,0.17848,0.127486
2020,21,7523,8,8,0.212681,0.106341,0.106341
2020,22,6054,7,3,0.16518,0.115626,0.049554
2020,23,6181,9,12,0.339751,0.145608,0.194143
2020,24,5718,8,8,0.279818,0.139909,0.139909
2020,25,5247,12,8,0.38117,0.228702,0.152468
2020,26,5667,9,7,0.282336,0.158814,0.123522
2020,27,6258,8,5,0.207734,0.127836,0.0798977
2020,28,6322,6,5,0.173996,0.0949067,0.0790889
2020,29,6176,11,12,0.372409,0.178109,0.194301
2020,30,6042,5,4,0.148957,0.0827541,0.0662032
2020,31,6105,3,5,0.13104,0.04914,0.0819001
2020,32,6330,7,4,0.173776,0.110585,0.0631912
2020,33,6120,4,4,0.130719,0.0653595,0.0653595
2020,34,6238,6,8,0.224431,0.0961847,0.128246
2020,35,6443,7,13,0.310414,0.108645,0.201769
2020,36,6543,7,6,0.198686,0.106985,0.0917011
2020,37,7059,7,6,0.184162,0.0991642,0.0849979
2020,38,8083,14,18,0.395893,0.173203,0.22269
2020,39,9019,11,9,0.221754,0.121965,0.0997893
2020,40,12200,19,21,0.327869,0.155738,0.172131
2020,41,14924,30,28,0.388636,0.201018,0.187617
2020,42,15112,27,26,0.350715,0.178666,0.172049
2020,43,16611,21,21,0.252845,0.126422,0.126422
2020,44,20552,22,19,0.199494,0.107046,0.0924484
2020,45,27187,31,25,0.205981,0.114025,0.0919557
2020,46,34907,32,44,0.217721,0.0916722,0.126049
2020,47,38746,34,54,0.22712,0.087751,0.139369
2020,48,35276,19,36,0.155913,0.053861,0.102052
2020,49,42526,31,65,0.225744,0.0728966,0.152848
2020,50,41778,26,76,0.244148,0.0622337,0.181914
2020,51,40917,36,81,0.285945,0.087983,0.197962
2020,52,36310,34,67,0.27816,0.0936381,0.184522
2020,53,40471,34,73,0.264387,0.0840108,0.180376
2021,1,44971,28,95,0.27351,0.0622623,0.211247
2021,2,41807,24,48,0.17222,0.0574067,0.114813
2021,3,39002,21,62,0.21281,0.0538434,0.158966
2021,4,36455,12,50,0.170073,0.0329173,0.137155
2021,5,36559,21,53,0.202413,0.0574414,0.144971
2021,6,34089,11,35,0.134941,0.0322685,0.102672
2021,7,32424,19,22,0.12645,0.0585986,0.067851
2021,8,34328,17,25,0.122349,0.0495223,0.0728268
2021,9,34184,14,17,0.0906857,0.0409548,0.0497309
2021,10,34191,15,21,0.105291,0.0438712,0.0614197
2021,11,34680,26,19,0.129758,0.0749712,0.0547866
2021,12,35763,13,17,0.0838856,0.0363504,0.0475352
